Model,Accuracy,Precision,Recall (Sensitivity),Specificity,NPV,F1-Score,Balanced Accuracy,G-Mean,ROC-AUC,PR-AUC,Cohen Kappa,MCC,Log Loss,Brier Score,FPR,FNR,DOR,TP,TN,FP,FN
Baseline (Train),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10721458311957408,0.01775053050397878,0.0,0.0,999.99,940,568,0,0
Baseline (Test),0.8647214854111406,0.9035087719298246,0.8765957446808511,0.8450704225352113,0.8053691275167785,0.8898488120950324,0.8608330836080311,0.8606887569557389,0.9271201678154031,0.9576883882490049,0.7146948405573444,0.7152434527612281,0.34011870557820134,0.10579549071618037,0.15492957746478872,0.12340425531914893,38.7460815047022,206,120,22,29
Tuned (Train),0.8706896551724138,0.9044516829533116,0.8861702127659574,0.8450704225352113,0.817717206132879,0.8952176249328317,0.8656203176505843,0.8653763552005831,0.9441451902906803,0.9680234372996692,0.7264324016566999,0.7266906062762373,0.3382344099935907,0.10237879155660674,0.15492957746478872,0.11382978723404255,42.463891248937976,833,480,88,107
Tuned (Test),0.8620689655172413,0.9030837004405287,0.8723404255319149,0.8450704225352113,0.8,0.8874458874458875,0.8587054240335631,0.858597165147196,0.9347018279892118,0.9612326877361771,0.7095015114693853,0.7102111473324063,0.3499075937814331,0.10608637202961077,0.15492957746478872,0.1276595744680851,37.27272727272727,205,120,22,30
