Strategy,Accuracy,ROC-AUC,F1-Score,Precision,Recall,Specificity,Balanced Acc,MCC,Training Time (s)
No Resampling,0.8620689655172413,0.9347018279892118,0.8874458874458875,0.9030837004405287,0.8723404255319149,0.8450704225352113,0.8587054240335631,0.7102111473324063,0.0
SMOTE,0.8673740053050398,0.9335031465388074,0.888888888888889,0.9302325581395349,0.851063829787234,0.8943661971830986,0.8727150134851663,0.7296393518154615,1.1932573318481445
ADASYN,0.8488063660477454,0.9304465088402757,0.8701594533029613,0.9362745098039216,0.8127659574468085,0.9084507042253521,0.8606083308360803,0.7013030365850588,1.1646926403045654
Class Weight,0.8620689655172413,0.9344321246628708,0.8823529411764706,0.9420289855072463,0.8297872340425532,0.9154929577464789,0.872640095894516,0.7257516778229568,1.0738890171051025
