Feature,Gini_Importance,Perm_Importance_Mean,SHAP_Importance,Gini_Importance_Normalized,Perm_Importance_Mean_Normalized,SHAP_Importance_Normalized,Gini_Rank,Perm_Rank,SHAP_Rank,Average_Rank
Oscore,0.09999043295576741,0.015455998401757971,0.04663601677835774,0.49784647190978903,0.45523551737326673,0.49145146125152034,5.0,5.0,5.0,5.0
Cscore,0.07715232750599267,0.006534811707122072,0.03578664952391442,0.38413689103114884,0.19247403571743593,0.3771205693961734,6.0,6.0,6.0,6.0
Nscore,0.041396391571862944,0.0010898012186593734,0.014744646641073327,0.20611019359186972,0.03209862014180773,0.15537943928254974,9.0,10.0,11.0,10.0
Escore,0.02813464888042145,0.001105783637998096,0.006803520833383335,0.14008075842350487,0.03256936067550966,0.07169566541482714,12.0,9.0,12.0,11.0
Ascore,0.03466010976583652,-0.0012855858555589795,0.014954309494778427,0.1725706435390772,-0.037865191679663984,0.15758887145411016,11.0,24.0,10.0,15.0
