Metric,Train Mean,Train Std,Test Mean,Test Std,Gap
Accuracy,0.8728464828577357,0.004260373701592103,0.8242722932388726,0.011263217666344118,0.04857418961886306
Roc Auc,0.9444404799671225,0.0006144127486906806,0.8984362973900577,0.005809571804870399,0.046004182577064845
F1,0.8971397266018432,0.00359087614952031,0.8579656064782449,0.008066229405629182,0.03917412012359822
Precision,0.9047968550799983,0.0037016426485971614,0.865168982746612,0.01578760108642949,0.03962787233338627
Recall,0.8896276595744681,0.0051844650770260505,0.851063829787234,0.006728250340783795,0.03856382978723405
Balanced Accuracy,0.867350500165314,0.004345907283673325,0.815494653598787,0.014689719164233879,0.051855846566526975
